size,subset,tune_f1,tune_calls,eval_f1,eval_calls,eval_em,diff_f1_vs_k3,diff_calls_vs_k3,f1_per_call,f1_minus_05calls
2,answer_stable+answer_in_evidence,58.39718614718614,1.8,54.93122525622526,1.8133333333333332,44.333333333333336,-3.437301587301576,-1.1866666666666668,30.29295510453599,54.024558589558595
3,answer_stable_f1+answer_in_evidence+calibrated_conf,58.39718614718614,1.68,54.597891922891925,1.7366666666666666,44.0,-3.7706349206349117,-1.2633333333333334,31.438325483431054,53.72955858955859
4,answer_stable+answer_stable_f1+answer_in_evidence+calibrated_conf,58.39718614718614,1.68,54.597891922891925,1.7366666666666666,44.0,-3.7706349206349117,-1.2633333333333334,31.438325483431054,53.72955858955859
2,answer_stable_f1+answer_in_evidence,58.39718614718614,1.75,54.597891922891925,1.7733333333333334,44.0,-3.7706349206349117,-1.2266666666666666,30.788284918924017,53.71122525622526
3,answer_stable+answer_stable_f1+answer_in_evidence,58.39718614718614,1.75,54.597891922891925,1.7733333333333334,44.0,-3.7706349206349117,-1.2266666666666666,30.788284918924017,53.71122525622526
3,answer_stable_seq+calibrated_conf+overlap_signal,56.66385281385281,2.07,54.56217763717763,2.0533333333333332,45.0,-3.8063492063492035,-0.9466666666666668,26.572489109015084,53.53551097051097
4,answer_stable+answer_stable_seq+calibrated_conf+overlap_signal,56.66385281385281,2.07,54.56217763717763,2.0533333333333332,45.0,-3.8063492063492035,-0.9466666666666668,26.572489109015084,53.53551097051097
4,answer_stable_f1+answer_stable_seq+calibrated_conf+overlap_signal,56.66385281385281,2.07,54.56217763717763,2.0533333333333332,45.0,-3.8063492063492035,-0.9466666666666668,26.572489109015084,53.53551097051097
5,answer_stable+answer_stable_f1+answer_stable_seq+calibrated_conf+overlap_signal,56.66385281385281,2.07,54.56217763717763,2.0533333333333332,45.0,-3.8063492063492035,-0.9466666666666668,26.572489109015084,53.53551097051097
3,answer_stable_seq+answer_in_evidence+calibrated_conf,58.39718614718614,1.66,54.04233636733636,1.7033333333333334,43.666666666666664,-4.326190476190476,-1.2966666666666666,31.727399041489058,53.190669700669694
4,answer_stable+answer_stable_seq+answer_in_evidence+calibrated_conf,58.39718614718614,1.66,54.04233636733636,1.7033333333333334,43.666666666666664,-4.326190476190476,-1.2966666666666666,31.727399041489058,53.190669700669694
4,answer_stable_f1+answer_stable_seq+answer_in_evidence+calibrated_conf,58.39718614718614,1.66,54.04233636733636,1.7033333333333334,43.666666666666664,-4.326190476190476,-1.2966666666666666,31.727399041489058,53.190669700669694
5,answer_stable+answer_stable_f1+answer_stable_seq+answer_in_evidence+calibrated_conf,58.39718614718614,1.66,54.04233636733636,1.7033333333333334,43.666666666666664,-4.326190476190476,-1.2966666666666666,31.727399041489058,53.190669700669694
2,answer_stable_seq+answer_in_evidence,58.39718614718614,1.71,54.04233636733636,1.73,43.666666666666664,-4.326190476190476,-1.27,31.238344721003678,53.17733636733636
3,answer_stable+answer_stable_seq+answer_in_evidence,58.39718614718614,1.71,54.04233636733636,1.73,43.666666666666664,-4.326190476190476,-1.27,31.238344721003678,53.17733636733636
3,answer_stable_f1+answer_stable_seq+answer_in_evidence,58.39718614718614,1.71,54.04233636733636,1.73,43.666666666666664,-4.326190476190476,-1.27,31.238344721003678,53.17733636733636
4,answer_stable+answer_stable_f1+answer_stable_seq+answer_in_evidence,58.39718614718614,1.71,54.04233636733636,1.73,43.666666666666664,-4.326190476190476,-1.27,31.238344721003678,53.17733636733636
4,answer_stable_f1+answer_in_evidence+calibrated_conf+overlap_signal,58.39718614718614,1.67,53.931225256225254,1.6833333333333333,43.333333333333336,-4.437301587301583,-1.3166666666666667,32.03835163736154,53.089558589558585
5,answer_stable+answer_stable_f1+answer_in_evidence+calibrated_conf+overlap_signal,58.39718614718614,1.67,53.931225256225254,1.6833333333333333,43.333333333333336,-4.437301587301583,-1.3166666666666667,32.03835163736154,53.089558589558585
4,answer_stable+answer_in_evidence+calibrated_conf+overlap_signal,58.39718614718614,1.7,53.931225256225254,1.6866666666666668,43.333333333333336,-4.437301587301583,-1.3133333333333332,31.975034736892443,53.08789192289192
